country,ISO3,year,sex,C73_deaths,population,ASMR_per_100k,standard_population,mortality_quality,primary_latency_break,observed_status,source,source_url,analysis_role
Australia,AUS,2012,male,67,11312823.0,0.32192817,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2013,male,59,11505587.0,0.30496054,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2014,male,54,11679392.0,0.23743363,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2015,male,65,11827652.0,0.28320416,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2016,male,66,12003039.0,0.2756181,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2017,male,77,12204216.0,0.34227772,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2018,male,67,12390221.0,0.28693496,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2019,male,79,12577221.0,0.32227314,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2020,male,49,12728639.0,0.19109637,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2021,male,79,12749410.0,0.2840697,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2022,male,77,12907235.0,0.27069009,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2023,male,90,13225637.0,0.31802131,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Australia,AUS,2024,male,74,13505920.0,0.23818741,CI5 Segi/Doll world standard,A,2014,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,1995,both,26,4776100.0,0.31697329,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,1996,both,42,4493500.0,0.597984,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,1997,both,30,4572600.0,0.4072917,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,1998,both,38,4501100.0,0.55169429,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,1999,both,39,4553700.0,0.55496703,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2000,both,38,4381100.0,0.60446415,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2001,both,23,4418155.0,0.23732112,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2002,both,37,4443200.0,0.39323142,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2003,both,36,4441800.0,0.40967938,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2004,both,38,4439400.0,0.38740997,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2005,both,35,4441946.0,0.39011342,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2006,both,36,4440022.0,0.35094728,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2007,both,29,4435982.0,0.3081452,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2008,both,47,4434508.0,0.49723181,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2009,both,29,4429078.0,0.24199812,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2010,both,43,4417781.0,0.50308259,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2011,both,30,4402788.0,0.27129049,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2012,both,39,4260368.0,0.38956345,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2013,both,51,4233922.0,0.49925169,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2014,both,47,4201598.0,0.43112673,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2015,both,27,4151725.0,0.25508997,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2016,both,42,4106867.0,0.42340621,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2017,both,35,4041407.0,0.31200837,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2018,both,43,3988775.0,0.3295988,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2019,both,35,3949390.0,0.31032018,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2020,both,25,3914206.0,0.24477083,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2021,both,36,3878981.0,0.36033851,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,2023,both,30,3859686.0,0.24207331,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,PRIMARY_DESCRIPTIVE
Croatia,HRV,1995,female,16,2463300.0,0.31308218,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,1996,female,24,2334100.0,0.52260543,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
Croatia,HRV,1997,female,18,2374900.0,0.36782177,CI5 Segi/Doll world standard,A,2001,OBSERVED,WHO Mortality Database observed national C73,https://ci5.iarc.who.int/ci5plus/help/,SEX_SPECIFIC_SECONDARY
